Dates,REUR,RAUD,RUSD,RKRW
07/13/00,0.045,0.06,0.0667,0.05
07/14/00,0.0453,0.0602,0.0668,0.05
07/17/00,0.0456,0.0608,0.0671,0.05
07/18/00,0.0459,0.0603,0.0671,0.05
07/19/00,0.046,0.0602,0.0671,0.05
07/20/00,0.046,0.0607,0.0668,0.05
07/21/00,0.0459,0.0605,0.0668,0.05
07/24/00,0.0459,0.0607,0.0666,0.05
07/25/00,0.0458,0.0604,0.0669,0.05
07/26/00,0.04635,0.0605,0.0668,0.05
07/27/00,0.04635,0.061,0.0668,0.05
07/28/00,0.04635,0.061,0.067,0.05
07/31/00,0.0448,0.0614,0.0666,0.05
08/01/00,0.0459,0.0613,0.0666,0.05
08/02/00,0.0464,0.0625,0.0666,0.05
08/03/00,0.04605,0.0626,0.0669,0.05
08/04/00,0.0463,0.0626,0.0666,0.05
08/07/00,0.04635,0.0624,0.0663,0.05
08/08/00,0.0463,0.0628,0.0663,0.05
08/09/00,0.0465,0.062,0.0664,0.05
08/10/00,0.04625,0.0627,0.0664,0.05
08/11/00,0.0475,0.0627,0.0664,0.05
08/14/00,0.04775,0.0633,0.0664,0.05
08/15/00,0.04785,0.0632,0.0662,0.05
08/16/00,0.0481,0.0631,0.0667,0.05
08/17/00,0.04825,0.064,0.0663,0.05
08/18/00,0.04815,0.0637,0.0666,0.05
08/21/00,0.0483,0.0639,0.0665,0.05
08/22/00,0.04855,0.0638,0.0663,0.05
08/23/00,0.0482,0.0636,0.0665,0.05
08/24/00,0.04855,0.0636,0.0664,0.05
08/25/00,0.049,0.0637,0.066,0.05
08/28/00,0.0492,0.0642,0.066,0.05
08/29/00,0.04895,0.0639,0.0664,0.05
08/30/00,0.0485,0.065,0.0663,0.05
08/31/00,0.04815,0.064,0.0662,0.05
09/01/00,0.0478,0.0641,0.066,0.05
09/04/00,0.0479,0.0627,0.0659,0.05
09/05/00,0.0478,0.0631,0.0664,0.05
09/06/00,0.0479,0.0637,0.0665,0.05
09/07/00,0.0483,0.0643,0.066,0.05
09/08/00,0.0482,0.0638,0.066,0.05
09/11/00,0.04835,0.0638,0.0662,0.05
09/12/00,0.0484,0.0647,0.0663,0.05
09/13/00,0.04815,0.0642,0.0666,0.05
09/14/00,0.04795,0.064,0.0662,0.05
09/15/00,0.0474,0.064,0.0664,0.05
09/18/00,0.0476,0.0642,0.0659,0.05
09/19/00,0.0478,0.0652,0.0663,0.05
09/20/00,0.0482,0.0654,0.0663,0.05
09/21/00,0.048,0.0652,0.0662,0.05
09/22/00,0.0479,0.0637,0.066,0.05
09/25/00,0.04815,0.064,0.0662,0.05
09/26/00,0.04875,0.0645,0.0661,0.05
09/27/00,0.04875,0.0647,0.0663,0.05
09/28/00,0.0499,0.065,0.0673,0.05
09/29/00,0.04965,0.0646,0.0674,0.05
10/02/00,0.0494,0.0637,0.0674,0.05
10/03/00,0.04975,0.0638,0.0674,0.05
10/04/00,0.0492,0.0642,0.0673,0.05
10/05/00,0.05005,0.0627,0.067,0.0525
10/06/00,0.05005,0.0632,0.0673,0.0525
10/09/00,0.0497,0.0639,0.0675,0.0525
10/10/00,0.04995,0.0632,0.0672,0.0525
10/11/00,0.0497,0.0638,0.0671,0.0525
10/12/00,0.04965,0.0625,0.0669,0.0525
10/13/00,0.0494,0.0631,0.0675,0.0525
10/16/00,0.0498,0.0636,0.0667,0.0525
10/17/00,0.0498,0.0629,0.0667,0.0525
10/18/00,0.0499,0.0628,0.0668,0.0525
10/19/00,0.0504,0.0628,0.0667,0.0525
10/20/00,0.0499,0.0627,0.0669,0.0525
10/23/00,0.0503,0.0633,0.066,0.0525
10/24/00,0.0506,0.0632,0.067,0.0525
10/25/00,0.0508,0.0628,0.0663,0.0525
10/26/00,0.0509,0.0631,0.0671,0.0525
10/27/00,0.0509,0.0625,0.0671,0.0525
10/30/00,0.0514,0.0627,0.067,0.0525
10/31/00,0.0509,0.0629,0.0671,0.0525
11/01/00,0.0514,0.0626,0.0665,0.0525
11/02/00,0.0509,0.0629,0.0671,0.0525
11/03/00,0.0508,0.0629,0.0671,0.0525
11/06/00,0.05095,0.0627,0.067,0.0525
11/07/00,0.0508,0.063,0.0672,0.0525
11/08/00,0.05105,0.0622,0.0672,0.0525
11/09/00,0.05105,0.0623,0.0668,0.0525
11/10/00,0.05105,0.0621,0.0669,0.0525
11/13/00,0.0503,0.0619,0.0667,0.0525
11/14/00,0.05085,0.0618,0.0668,0.0525
11/15/00,0.0501,0.0619,0.0668,0.0525
11/16/00,0.05065,0.0618,0.0669,0.0525
11/17/00,0.0506,0.0617,0.067,0.0525
11/20/00,0.0503,0.0617,0.0669,0.0525
11/21/00,0.048,0.0622,0.0671,0.0525
11/22/00,0.05065,0.062,0.0669,0.0525
11/23/00,0.05065,0.0621,0.0666,0.0525
11/24/00,0.0502,0.0618,0.067,0.0525
11/27/00,0.0507,0.0618,0.0668,0.0525
11/28/00,0.0507,0.0615,0.0671,0.0525
11/29/00,0.0498,0.0615,0.0668,0.0525
11/30/00,0.05025,0.0613,0.0664,0.0525
12/01/00,0.0498,0.0612,0.066,0.0525
12/04/00,0.0497,0.0611,0.0661,0.0525
12/05/00,0.04945,0.0606,0.066,0.0525
12/06/00,0.0492,0.0608,0.0655,0.0525
12/07/00,0.0492,0.0608,0.0651,0.0525
12/08/00,0.04955,0.0608,0.0652,0.0525
12/11/00,0.04955,0.0618,0.0653,0.0525
12/12/00,0.04955,0.0609,0.0653,0.0525
12/13/00,0.04945,0.0619,0.0653,0.0525
12/14/00,0.0492,0.0618,0.065,0.0525
12/15/00,0.049,0.0612,0.0652,0.0525
12/18/00,0.04915,0.0605,0.0643,0.0525
12/19/00,0.04875,0.0608,0.0646,0.0525
12/20/00,0.0488,0.0605,0.064,0.0525
12/21/00,0.0492,0.0608,0.0646,0.0525
12/22/00,0.0483,0.061,0.0631,0.0525
12/25/00,#N/A,#N/A,0.0637,0.0525
12/26/00,0.04845,0.0613,0.0637,0.0525
12/27/00,0.0485,0.0617,0.064,0.0525
12/28/00,0.04815,0.0605,0.0638,0.0525
12/29/00,0.0482,0.0595,0.0628,0.0525
01/01/01,#N/A,#N/A,#N/A,0.0525
01/02/01,0.0481,0.0605,0.0623,0.0525
01/03/01,0.0483,0.0588,0.0624,0.0525
01/04/01,0.0472,0.0592,0.0579,0.0525
01/05/01,0.0467,0.0582,0.056,0.0525
01/08/01,0.04665,0.0579,0.0556,0.0525
01/09/01,0.0469,0.0578,0.0557,0.0525
01/10/01,0.0478,0.058,0.0563,0.0525
01/11/01,0.04775,0.0585,0.0562,0.0525
01/12/01,0.048,0.0587,0.0572,0.0525
01/15/01,0.048,0.0584,0.0568,0.0525
01/16/01,0.04795,0.0581,0.0572,0.0525
01/17/01,0.0475,0.0585,0.057,0.0525
01/18/01,0.04755,0.0576,0.056,0.0525
01/19/01,0.047,0.0578,0.0556,0.0525
01/22/01,0.0476,0.0579,0.0554,0.0525
01/23/01,0.0472,0.058,0.0556,0.0525
01/24/01,0.0475,0.057,0.0559,0.0525
01/25/01,0.0473,0.0572,0.0558,0.0525
01/26/01,0.0479,0.0562,0.0553,0.0525
01/29/01,0.04775,0.056,0.0546,0.0525
01/30/01,0.0476,0.0558,0.0545,0.0525
01/31/01,0.04725,0.0557,0.0535,0.0525
02/01/01,0.04695,0.0554,0.0536,0.0525
02/02/01,0.0475,0.0545,0.0537,0.0525
02/05/01,0.0471,0.0549,0.0537,0.0525
02/06/01,0.04705,0.0545,0.0538,0.0525
02/07/01,0.04725,0.0542,0.0536,0.0525
02/08/01,0.04725,0.055,0.0535,0.05
02/09/01,0.04725,0.055,0.0536,0.05
02/12/01,0.04695,0.0547,0.0535,0.05
02/13/01,0.04755,0.0544,0.0537,0.05
02/14/01,0.0472,0.0543,0.0538,0.05
02/15/01,0.0473,0.0547,0.0539,0.05
02/16/01,0.0476,0.054,0.0535,0.05
02/19/01,0.0478,0.0538,0.0535,0.05
02/20/01,0.04755,0.0539,0.0533,0.05
02/21/01,0.04785,0.0538,0.0533,0.05
02/22/01,0.0475,0.0536,0.0523,0.05
02/23/01,0.0476,0.0534,0.0519,0.05
02/26/01,0.0481,0.0532,0.0511,0.05
02/27/01,0.0477,0.0527,0.0501,0.05
02/28/01,0.0475,0.0529,0.0499,0.05
03/01/01,0.0477,0.0528,0.0508,0.05
03/02/01,0.04735,0.0528,0.0508,0.05
03/05/01,0.0475,0.0521,0.0503,0.05
03/06/01,0.0475,0.052,0.0508,0.05
03/07/01,0.0476,0.0509,0.0509,0.05
03/08/01,0.0476,0.0503,0.0502,0.05
03/09/01,0.0477,0.0504,0.0505,0.05
03/12/01,0.0477,0.0497,0.0504,0.05
03/13/01,0.0478,0.0495,0.0493,0.05
03/14/01,0.0476,0.049,0.0493,0.05
03/15/01,0.04755,0.0481,0.049,0.05
03/16/01,0.04765,0.048,0.0482,0.05
03/19/01,0.0475,0.0482,0.048,0.05
03/20/01,0.0473,0.0482,0.0484,0.05
03/21/01,0.04675,0.0482,0.0483,0.05
03/22/01,0.0453,0.0484,0.0477,0.05
03/23/01,0.0456,0.0492,0.0485,0.05
03/26/01,0.0454,0.0497,0.048,0.05
03/27/01,0.0454,0.0496,0.0483,0.05
03/28/01,0.0454,0.0496,0.0485,0.05
03/29/01,0.0454,0.0498,0.0487,0.05
03/30/01,0.04535,0.0496,0.0481,0.05
04/02/01,0.0453,0.0484,0.048,0.05
04/03/01,0.0458,0.0477,0.0481,0.05
04/04/01,0.04565,0.0471,0.0478,0.05
04/05/01,0.0455,0.0474,0.0476,0.05
04/06/01,0.04555,0.0474,0.0473,0.05
04/09/01,0.0451,0.0468,0.0469,0.05
04/10/01,0.04565,0.0475,0.0472,0.05
04/11/01,0.047,0.0477,0.0475,0.05
04/12/01,0.04755,0.0477,0.0476,0.05
04/13/01,0.047,0.0479,0.0477,0.05
04/16/01,#N/A,0.0465,0.0465,0.05
04/17/01,0.0478,0.0475,0.0472,0.05
04/18/01,0.0473,0.0477,0.0442,0.05
04/19/01,0.04715,0.0452,0.0438,0.05
04/20/01,0.0478,0.0455,0.0431,0.05
04/23/01,0.0474,0.0454,0.043,0.05
04/24/01,0.04775,0.0456,0.043,0.05
04/25/01,0.04775,0.0454,0.0427,0.05
04/26/01,0.04775,0.0462,0.0427,0.05
04/27/01,0.04775,0.0464,0.0423,0.05
04/30/01,0.0479,0.047,0.0429,0.05
05/01/01,0.04815,0.0473,0.0424,0.05
05/02/01,0.0483,0.0478,0.0424,0.05
05/03/01,0.04805,0.0476,0.042,0.05
05/04/01,0.0478,0.0468,0.0406,0.05
05/07/01,0.0477,0.0467,0.0407,0.05
05/08/01,0.0475,0.047,0.04,0.05
05/09/01,0.0476,0.0468,0.0405,0.05
05/10/01,0.0453,0.0469,0.0402,0.05
05/11/01,0.0451,0.0477,0.0403,0.05
05/14/01,0.0456,0.0482,0.0407,0.05
05/15/01,0.0457,0.048,0.04,0.05
05/16/01,0.0456,0.0472,0.0397,0.05
05/17/01,0.0456,0.048,0.04,0.05
05/18/01,0.0454,0.0481,0.0403,0.05
05/21/01,0.0452,0.0485,0.0403,0.05
05/22/01,0.0455,0.0483,0.0397,0.05
05/23/01,0.0456,0.0481,0.04,0.05
05/24/01,0.0456,0.0483,0.0399,0.05
05/25/01,0.0455,0.0482,0.0399,0.05
05/28/01,0.0453,0.0481,0.0397,0.05
05/29/01,0.0455,0.0479,0.0396,0.05
05/30/01,0.04555,0.0486,0.0397,0.05
05/31/01,0.0452,0.0483,0.0395,0.05
06/01/01,0.0451,0.0482,0.0393,0.05
06/04/01,0.0451,0.0474,0.039,0.05
06/05/01,0.0445,0.0475,0.0387,0.05
06/06/01,0.044,0.0485,0.0388,0.05
06/07/01,0.0446,0.0487,0.0386,0.05
06/08/01,0.0444,0.049,0.0387,0.05
06/11/01,0.0445,0.0489,0.0386,0.05
06/12/01,0.0448,0.049,0.0384,0.05
06/13/01,0.0432,0.0489,0.0383,0.05
06/14/01,0.0445,0.0488,0.0377,0.05
06/15/01,0.04455,0.0488,0.0378,0.05
06/18/01,0.0442,0.0484,0.0373,0.05
06/19/01,0.0447,0.0481,0.037,0.05
06/20/01,0.0436,0.0484,0.0367,0.05
06/21/01,0.0444,0.0488,0.0371,0.05
06/22/01,0.0442,0.0484,0.0366,0.05
06/25/01,0.0437,0.0483,0.0369,0.05
06/26/01,0.044,0.0481,0.0369,0.05
06/27/01,0.0443,0.0488,0.0375,0.05
06/28/01,0.0437,0.049,0.0376,0.05
06/29/01,0.0442,0.0491,0.0379,0.05
07/02/01,0.0441,0.0489,0.0379,0.05
07/03/01,0.044,0.049,0.0385,0.05
07/04/01,0.04455,0.0493,0.0378,0.05
07/05/01,0.04435,0.0492,0.0377,0.0475
07/06/01,0.0448,0.0492,0.0376,0.0475
07/09/01,0.0446,0.0491,0.0376,0.0475
07/10/01,0.0447,0.0492,0.0375,0.0475
07/11/01,0.0445,0.0491,0.0368,0.0475
07/12/01,0.0448,0.0492,0.0365,0.0475
07/13/01,0.04475,0.0494,0.0373,0.0475
07/16/01,0.04475,0.0493,0.0372,0.0475
07/17/01,0.0448,0.0492,0.0369,0.0475
07/18/01,0.0447,0.0492,0.037,0.0475
07/19/01,0.04465,0.049,0.0368,0.0475
07/20/01,0.04465,0.0489,0.0368,0.0475
07/23/01,0.0447,0.0491,0.0364,0.0475
07/24/01,0.0447,0.049,0.0367,0.0475
07/25/01,0.0446,0.0494,0.0366,0.0475
07/26/01,0.0446,0.0494,0.036,0.0475
07/27/01,0.0442,0.05,0.0364,0.0475
07/30/01,0.0445,0.0493,0.0366,0.0475
07/31/01,0.0441,0.0493,0.0366,0.0475
08/01/01,0.0441,0.0492,0.0358,0.0475
08/02/01,0.0442,0.0493,0.0364,0.0475
08/03/01,0.04435,0.0491,0.0364,0.0475
08/06/01,0.0442,0.049,0.0359,0.0475
08/07/01,0.04405,0.0489,0.0362,0.0475
08/08/01,0.0443,0.049,0.0357,0.0475
08/09/01,0.0435,0.0482,0.0353,0.045
08/10/01,0.04375,0.0484,0.0354,0.045
08/13/01,0.0436,0.0485,0.0354,0.045
08/14/01,0.0435,0.0486,0.0349,0.045
08/15/01,0.0435,0.0488,0.035,0.045
08/16/01,0.0434,0.0486,0.0352,0.045
08/17/01,0.0431,0.0484,0.0345,0.045
08/20/01,0.0434,0.0484,0.035,0.045
08/21/01,0.0429,0.0486,0.0349,0.045
08/22/01,0.0431,0.0483,0.0347,0.045
08/23/01,0.043,0.0482,0.0352,0.045
08/24/01,0.04295,0.0482,0.0351,0.045
08/27/01,0.0431,0.0475,0.0349,0.045
08/28/01,0.0426,0.0473,0.0341,0.045
08/29/01,0.04275,0.0486,0.0344,0.045
08/30/01,0.0424,0.0466,0.0341,0.045
08/31/01,0.0425,0.0469,0.0343,0.045
09/03/01,0.04245,0.0465,0.0345,0.045
09/04/01,0.04245,0.0474,0.0345,0.045
09/05/01,0.043,0.0468,0.0349,0.045
09/06/01,0.0418,0.0466,0.0346,0.045
09/07/01,0.0425,0.0463,0.0335,0.045
09/10/01,0.0422,0.0461,0.0329,0.045
09/11/01,0.0414,0.0457,0.0331,0.045
09/12/01,0.0413,0.0431,0.0309,0.045
09/13/01,0.0412,0.0431,0.0309,0.045
09/14/01,0.0408,0.0442,0.0309,0.045
09/17/01,0.0378,0.043,0.0294,0.045
09/18/01,0.0376,0.0436,0.0287,0.045
09/19/01,0.03765,0.0423,0.0256,0.04
09/20/01,0.0367,0.0431,0.0256,0.04
09/21/01,0.0358,0.0426,0.0244,0.04
09/24/01,0.03615,0.0431,0.0249,0.04
09/25/01,0.0362,0.043,0.0248,0.04
09/26/01,0.03655,0.0427,0.0255,0.04
09/27/01,0.0364,0.0422,0.0253,0.04
09/28/01,0.0363,0.0423,0.0254,0.04
10/01/01,0.0364,0.0423,0.0259,0.04
10/02/01,0.036,0.0422,0.0251,0.04
10/03/01,0.0356,0.043,0.0247,0.04
10/04/01,0.0353,0.0428,0.0244,0.04
10/05/01,0.0354,0.0427,0.0238,0.04
10/08/01,0.0355,0.0427,0.024,0.04
10/09/01,0.0363,0.0428,0.024,0.04
10/10/01,0.0361,0.0431,0.0241,0.04
10/11/01,0.0361,0.0432,0.0239,0.04
10/12/01,0.0366,0.0432,0.0242,0.04
10/15/01,0.0361,0.0429,0.0235,0.04
10/16/01,0.0361,0.0429,0.0239,0.04
10/17/01,0.0363,0.0429,0.0235,0.04
10/18/01,0.0363,0.042,0.0232,0.04
10/19/01,0.0356,0.0427,0.0236,0.04
10/22/01,0.0358,0.0428,0.023,0.04
10/23/01,0.0358,0.0421,0.0233,0.04
10/24/01,0.0354,0.0425,0.0223,0.04
10/25/01,0.0354,0.042,0.0224,0.04
10/26/01,0.0358,0.0422,0.0223,0.04
10/29/01,0.03545,0.0422,0.0222,0.04
10/30/01,0.03535,0.0418,0.0212,0.04
10/31/01,0.0349,0.0418,0.0217,0.04
11/01/01,0.0349,0.0418,0.0216,0.04
11/02/01,0.0348,0.0418,0.0214,0.04
11/05/01,0.0347,0.0415,0.0212,0.04
11/06/01,0.0342,0.0415,0.02,0.04
11/07/01,0.0334,0.0399,0.0197,0.04
11/08/01,0.0328,0.041,0.0198,0.04
11/09/01,0.0336,0.0407,0.0197,0.04
11/12/01,0.0336,0.0415,0.02,0.04
11/13/01,0.033,0.0415,0.0195,0.04
11/14/01,0.0331,0.0415,0.0199,0.04
11/15/01,0.0336,0.0427,0.0205,0.04
11/16/01,0.0337,0.0421,0.0211,0.04
11/19/01,0.03345,0.0421,0.0207,0.04
11/20/01,0.0333,0.042,0.0209,0.04
11/21/01,0.0335,0.0421,0.0204,0.04
11/22/01,0.03395,0.0424,0.0212,0.04
11/23/01,0.03365,0.0427,0.0212,0.04
11/26/01,0.0333,0.0421,0.0207,0.04
11/27/01,0.0335,0.0421,0.0207,0.04
11/28/01,0.0336,0.0415,0.0204,0.04
11/29/01,0.0334,0.0412,0.0216,0.04
11/30/01,0.03345,0.0427,0.02,0.04
12/03/01,0.0331,0.0406,0.019,0.04
12/04/01,0.0331,0.041,0.0187,0.04
12/05/01,0.0332,0.0413,0.0196,0.04
12/06/01,0.0332,0.0414,0.0198,0.04
12/07/01,0.03365,0.0413,0.0187,0.04
12/10/01,0.0332,0.0414,0.0186,0.04
12/11/01,0.0332,0.0412,0.0183,0.04
12/12/01,0.0329,0.0413,0.018,0.04
12/13/01,0.0332,0.0408,0.0186,0.04
12/14/01,0.0332,0.0414,0.0192,0.04
12/17/01,0.0331,0.0415,0.0188,0.04
12/18/01,0.0331,0.0414,0.019,0.04
12/19/01,0.0331,0.0412,0.019,0.04
12/20/01,0.0331,0.0414,0.019,0.04
12/21/01,0.0331,0.0414,0.0191,0.04
12/24/01,0.0331,0.0407,0.0185,0.04
12/25/01,#N/A,#N/A,0.0209,0.04
12/26/01,0.0329,0.0407,0.0181,0.04
12/27/01,0.0328,0.0418,0.019,0.04
12/28/01,0.0328,0.0416,0.0182,0.04
12/31/01,0.0327,0.0415,0.0183,0.04
01/01/02,#N/A,#N/A,#N/A,0.04
01/02/02,0.0324,0.0415,0.0184,0.04
01/03/02,0.0324,0.0415,0.0183,0.04
01/04/02,0.0325,0.0416,0.0185,0.04
01/07/02,0.0328,0.0415,0.018,0.04
01/08/02,0.0327,0.0414,0.0179,0.04
01/09/02,0.0331,0.0415,0.0179,0.04
01/10/02,0.033,0.0415,0.0178,0.04
01/11/02,0.0335,0.0409,0.0176,0.04
01/14/02,0.033,0.0409,0.0167,0.04
01/15/02,0.033,0.0411,0.0167,0.04
01/16/02,0.033,0.0409,0.017,0.04
01/17/02,0.0331,0.0412,0.0172,0.04
01/18/02,0.0331,0.0412,0.0172,0.04
01/21/02,0.0331,0.0414,0.0176,0.04
01/22/02,0.0331,0.0417,0.0176,0.04
01/23/02,0.0333,0.0419,0.0176,0.04
01/24/02,0.0335,0.0419,0.018,0.04
01/25/02,0.0335,0.0419,0.0182,0.04
01/28/02,0.0335,0.042,0.0183,0.04
01/29/02,0.0334,0.0422,0.0181,0.04
01/30/02,0.0333,0.0417,0.0185,0.04
01/31/02,0.0333,0.0422,0.0188,0.04
02/01/02,0.0333,0.0422,0.0186,0.04
02/04/02,0.0336,0.0425,0.0181,0.04
02/05/02,0.0332,0.042,0.0185,0.04
02/06/02,0.0331,0.042,0.0185,0.04
02/07/02,0.0333,0.0423,0.0185,0.04
02/08/02,0.0331,0.0419,0.0185,0.04
02/11/02,0.0335,0.042,0.0184,0.04
02/12/02,0.0333,0.0419,0.0186,0.04
02/13/02,0.0332,0.042,0.0186,0.04
02/14/02,0.0332,0.0421,0.0186,0.04
02/15/02,0.0332,0.0421,0.0185,0.04
02/18/02,0.0332,0.042,0.0186,0.04
02/19/02,0.0332,0.042,0.0186,0.04
02/20/02,0.0332,0.042,0.0185,0.04
